1_id	1_span	1_anno_default_ns::lemma	1_anno_ptb::pos	2_id	2_span	2_anno_ptb::cat	3_id	3_span	3_anno_ptb::cat	4_id	4_span	4_anno_default_ns::lemma	4_anno_ptb::pos	meta_Author	meta_Birthdate	meta_Date_of_composition	meta_Filename	meta_Genre	meta_Manuscript
salt:/ppcmbe2/andrews1-1785-2#sTok7304	many	many	Q	salt:/ppcmbe2/andrews1-1785-2#structure4277	*T*-1 would have lingered many a year , unless 0 it had been thus forced into completion	IP	salt:/ppcmbe2/andrews1-1785-2#structure4278	many a year	NP	salt:/ppcmbe2/andrews1-1785-2#sTok7306	year	year	N	Andrews, John 	b. 1736, d. 1809 	1785-1786 	andrews1-1785 	HISTORY 	n/a 
salt:/ppcmbe2/andrews1-1785-2#sTok9333	any	any	Q	salt:/ppcmbe2/andrews1-1785-2#structure5439	any men braver than themselves	IP	salt:/ppcmbe2/andrews1-1785-2#structure5440	any men	NP	salt:/ppcmbe2/andrews1-1785-2#sTok9334	men	man	NS	Andrews, John 	b. 1736, d. 1809 	1785-1786 	andrews1-1785 	HISTORY 	n/a 
salt:/ppcmbe2/andrews2-1796-2#sTok525	all	all	Q	salt:/ppcmbe2/andrews2-1796-2#structure278	all manner of authority , whether civil or military , is derived from the crown	IP	salt:/ppcmbe2/andrews2-1796-2#structure279	all manner of authority , whether civil or military	NP	salt:/ppcmbe2/andrews2-1796-2#sTok526	manner	manner	N	Andrews, James Pettit 	b. 1737?, 1797 	1796 	andrews-1796 	HISTORY 	n/a 
salt:/ppcmbe2/andrews2-1796-2#sTok2247	all	all	Q	salt:/ppcmbe2/andrews2-1796-2#structure1248	to watch their flock , herds , corn , woods , &c. all the night	IP	salt:/ppcmbe2/andrews2-1796-2#structure1256	all the night	NP	salt:/ppcmbe2/andrews2-1796-2#sTok2249	night	night	N	Andrews, James Pettit 	b. 1737?, 1797 	1796 	andrews-1796 	HISTORY 	n/a 
salt:/ppcmbe2/andrews2-1796-2#sTok3419	No	no	Q	salt:/ppcmbe2/andrews2-1796-2#structure1932	' No man , ' wrote the orthodox Elizabeth to Archbishop Whitgift , ' should be suffered to decline either to the *ICH*-1 right or left hand from the drawn line limited by authority . '	IP-MAT-SPE	salt:/ppcmbe2/andrews2-1796-2#structure1933	No man	NP	salt:/ppcmbe2/andrews2-1796-2#sTok3420	man	man	N	Andrews, James Pettit 	b. 1737?, 1797 	1796 	andrews-1796 	HISTORY 	n/a 
salt:/ppcmbe2/andrews2-1796-2#sTok6112	some	some	Q	salt:/ppcmbe2/andrews2-1796-2#structure3421	some years before the dissolution of religious houses	PP	salt:/ppcmbe2/andrews2-1796-2#structure3422	some years	NP	salt:/ppcmbe2/andrews2-1796-2#sTok6113	years	year	NS	Andrews, James Pettit 	b. 1737?, 1797 	1796 	andrews-1796 	HISTORY 	n/a 
salt:/ppcmbe2/andrews2-1796-2#sTok7739	many	many	Q	salt:/ppcmbe2/andrews2-1796-2#structure4362	for many succeeding years	PP	salt:/ppcmbe2/andrews2-1796-2#structure4363	many succeeding years	NP	salt:/ppcmbe2/andrews2-1796-2#sTok7741	years	year	NS	Andrews, James Pettit 	b. 1737?, 1797 	1796 	andrews-1796 	HISTORY 	n/a 
salt:/ppcmbe2/anon1-1711-1#sTok434	some	some	Q	salt:/ppcmbe2/anon1-1711-1#structure243	after some other manner	PP	salt:/ppcmbe2/anon1-1711-1#structure244	some other manner	NP	salt:/ppcmbe2/anon1-1711-1#sTok436	manner	manner	N	anonymous (see Remarks) 	b. ?, d. ? 	1711 	anon1-1711 	EDUC TREAT 	n/a 
salt:/ppcmbe2/anon1-1711-1#sTok513	no	no	Q	salt:/ppcmbe2/anon1-1711-1#structure290	I have no manner of private Interest or Design in Writing this Essay	IP	salt:/ppcmbe2/anon1-1711-1#structure292	no manner of private Interest or Design	NP	salt:/ppcmbe2/anon1-1711-1#sTok514	manner	manner	N	anonymous (see Remarks) 	b. ?, d. ? 	1711 	anon1-1711 	EDUC TREAT 	n/a 
salt:/ppcmbe2/anon1-1711-1#sTok1893	several	several	Q	salt:/ppcmbe2/anon1-1711-1#structure1037	upon several matters	PP	salt:/ppcmbe2/anon1-1711-1#structure1038	several matters	NP	salt:/ppcmbe2/anon1-1711-1#sTok1894	matters	matter	NS	anonymous (see Remarks) 	b. ?, d. ? 	1711 	anon1-1711 	EDUC TREAT 	n/a 
salt:/ppcmbe2/anon1-1711-1#sTok3530	any	any	Q	salt:/ppcmbe2/anon1-1711-1#structure1919	of any Country	PP	salt:/ppcmbe2/anon1-1711-1#structure1920	any Country	NP	salt:/ppcmbe2/anon1-1711-1#sTok3531	Country	country	N	anonymous (see Remarks) 	b. ?, d. ? 	1711 	anon1-1711 	EDUC TREAT 	n/a 
salt:/ppcmbe2/anon1-1711-1#sTok4274	several	several	Q	salt:/ppcmbe2/anon1-1711-1#structure2339	and consequently several Years will be gain'd :	IP-MAT	salt:/ppcmbe2/anon1-1711-1#structure2341	several Years	NP	salt:/ppcmbe2/anon1-1711-1#sTok4275	Years	year	NS	anonymous (see Remarks) 	b. ?, d. ? 	1711 	anon1-1711 	EDUC TREAT 	n/a 
salt:/ppcmbe2/anon1-1711-1#sTok4550	all	all	Q	salt:/ppcmbe2/anon1-1711-1#structure2489	*T*-3 he Advises all Men to Learn it after the same Method	IP	salt:/ppcmbe2/anon1-1711-1#structure2491	all Men	NP	salt:/ppcmbe2/anon1-1711-1#sTok4551	Men	man	NS	anonymous (see Remarks) 	b. ?, d. ? 	1711 	anon1-1711 	EDUC TREAT 	n/a 
salt:/ppcmbe2/anon1-1711-1#sTok4683	all	all	Q	salt:/ppcmbe2/anon1-1711-1#structure2554	concerning all such Matters as 0 0 he had occasion to Discourse about *T*-3	IP	salt:/ppcmbe2/anon1-1711-1#structure2555	all such Matters as 0 0 he had occasion to Discourse about *T*-3	NP	salt:/ppcmbe2/anon1-1711-1#sTok4685	Matters	matter	NS	anonymous (see Remarks) 	b. ?, d. ? 	1711 	anon1-1711 	EDUC TREAT 	n/a 
salt:/ppcmbe2/anon1-1711-1#sTok4783	no	no	Q	salt:/ppcmbe2/anon1-1711-1#structure2608	and yet no Man for many Years has Writ finer <font> Latin <$$font> than 0 0 *T*-1 he did * .	IP-MAT	salt:/ppcmbe2/anon1-1711-1#structure2610	no Man	NP	salt:/ppcmbe2/anon1-1711-1#sTok4784	Man	man	N	anonymous (see Remarks) 	b. ?, d. ? 	1711 	anon1-1711 	EDUC TREAT 	n/a 
salt:/ppcmbe2/anon1-1711-1#sTok4786	many	many	Q	salt:/ppcmbe2/anon1-1711-1#structure2611	for many Years	PP	salt:/ppcmbe2/anon1-1711-1#structure2612	many Years	NP	salt:/ppcmbe2/anon1-1711-1#sTok4787	Years	year	NS	anonymous (see Remarks) 	b. ?, d. ? 	1711 	anon1-1711 	EDUC TREAT 	n/a 
salt:/ppcmbe2/anon1-1711-1#sTok5378	some	some	Q	salt:/ppcmbe2/anon1-1711-1#structure2922	By this means also , Boys wou'd gain some Years , which 0 *T*-1 they might spend very usefully in reading good Books , in learning Arithmetick , in Geography , in Chronology , History , practical Mathematicks , and such other Arts as 0 0 *T*-2 are suitable to their Capacities , besides other Advantages which 0 *T*-3 wou'd accrue to them from the Use of this Method .	IP-MAT	salt:/ppcmbe2/anon1-1711-1#structure2926	some Years , which 0 *T*-1 they might spend very usefully in reading good Books , in learning Arithmetick , in Geography , in Chronology , History , practical Mathematicks , and such other Arts as 0 0 *T*-2 are suitable to their Capacities	NP	salt:/ppcmbe2/anon1-1711-1#sTok5379	Years	year	NS	anonymous (see Remarks) 	b. ?, d. ? 	1711 	anon1-1711 	EDUC TREAT 	n/a 
salt:/ppcmbe2/anon1-1711-1#sTok5477	every	every	Q	salt:/ppcmbe2/anon1-1711-1#structure2985	as many as 0 0 *T*-1 cou'd conveniently shou'd meet together every Night <paren> which 0 *T*-2 is a leisure Time	IP	salt:/ppcmbe2/anon1-1711-1#structure2993	every Night <paren> which 0 *T*-2 is a leisure Time	NP	salt:/ppcmbe2/anon1-1711-1#sTok5478	Night	night	N	anonymous (see Remarks) 	b. ?, d. ? 	1711 	anon1-1711 	EDUC TREAT 	n/a 
salt:/ppcmbe2/anon1-1711-1#sTok6076	any	any	Q	salt:/ppcmbe2/anon1-1711-1#structure3334	into any other Book	PP	salt:/ppcmbe2/anon1-1711-1#structure3335	any other Book	NP	salt:/ppcmbe2/anon1-1711-1#sTok6078	Book	book	N	anonymous (see Remarks) 	b. ?, d. ? 	1711 	anon1-1711 	EDUC TREAT 	n/a 
salt:/ppcmbe2/anon1-1711-1#sTok6286	some	some	Q	salt:/ppcmbe2/anon1-1711-1#structure3459	from some Book	PP	salt:/ppcmbe2/anon1-1711-1#structure3460	some Book	NP	salt:/ppcmbe2/anon1-1711-1#sTok6287	Book	book	N	anonymous (see Remarks) 	b. ?, d. ? 	1711 	anon1-1711 	EDUC TREAT 	n/a 
salt:/ppcmbe2/anon1-1711-1#sTok6408	any	any	Q	salt:/ppcmbe2/anon1-1711-1#structure3526	of any other Book	PP	salt:/ppcmbe2/anon1-1711-1#structure3527	any other Book	NP	salt:/ppcmbe2/anon1-1711-1#sTok6410	Book	book	N	anonymous (see Remarks) 	b. ?, d. ? 	1711 	anon1-1711 	EDUC TREAT 	n/a 
salt:/ppcmbe2/anon1-1711-1#sTok6426	any	any	Q	salt:/ppcmbe2/anon1-1711-1#structure3534	nor is there any Book of a more easy , and familiar Stile than the Gospels	IP	salt:/ppcmbe2/anon1-1711-1#structure3536	any Book of a more easy , and familiar Stile than the Gospels	NP	salt:/ppcmbe2/anon1-1711-1#sTok6427	Book	book	N	anonymous (see Remarks) 	b. ?, d. ? 	1711 	anon1-1711 	EDUC TREAT 	n/a 
salt:/ppcmbe2/anon1-1711-1#sTok6608	every	every	Q	salt:/ppcmbe2/anon1-1711-1#structure3639	him order one of his Scholars , every Night to read a Chapter leisurely , distinctly and with an audible Voice	IP	salt:/ppcmbe2/anon1-1711-1#structure3644	every Night	NP	salt:/ppcmbe2/anon1-1711-1#sTok6609	Night	night	N	anonymous (see Remarks) 	b. ?, d. ? 	1711 	anon1-1711 	EDUC TREAT 	n/a 
salt:/ppcmbe2/anon1-1711-1#sTok6819	every	every	Q	salt:/ppcmbe2/anon1-1711-1#structure3759	Thus two Chapters wou'd be learn'd every Day ,	IP-MAT	salt:/ppcmbe2/anon1-1711-1#structure3762	every Day	NP	salt:/ppcmbe2/anon1-1711-1#sTok6820	Day	day	N	anonymous (see Remarks) 	b. ?, d. ? 	1711 	anon1-1711 	EDUC TREAT 	n/a 
salt:/ppcmbe2/anon1-1711-1#sTok7117	every	every	Q	salt:/ppcmbe2/anon1-1711-1#structure3918	two Chapters shou'd be learn'd every Day , according to the fore-going Method	IP	salt:/ppcmbe2/anon1-1711-1#structure3920	every Day	NP	salt:/ppcmbe2/anon1-1711-1#sTok7118	Day	day	N	anonymous (see Remarks) 	b. ?, d. ? 	1711 	anon1-1711 	EDUC TREAT 	n/a 
salt:/ppcmbe2/anon1-1711-1#sTok7145	no	no	Q	salt:/ppcmbe2/anon1-1711-1#structure3926	Boys , immediately after 0 they have learn'd to decline Nouns and Verbs , taught no other Book *ICH*-3 for some Time , but the <font> New Testament	IP	salt:/ppcmbe2/anon1-1711-1#structure3934	no other Book *ICH*-3	NP	salt:/ppcmbe2/anon1-1711-1#sTok7147	Book	book	N	anonymous (see Remarks) 	b. ?, d. ? 	1711 	anon1-1711 	EDUC TREAT 	n/a 
salt:/ppcmbe2/anon2-1732-2#sTok3180	no	no	Q	salt:/ppcmbe2/anon2-1732-2#structure1930	$'T $is {TEXT:'Tis} no easy matter to enumerate all kinds of Things and Notions ,	IP-MAT	salt:/ppcmbe2/anon2-1732-2#structure1932	no easy matter	NP	salt:/ppcmbe2/anon2-1732-2#sTok3182	matter	matter	N	Anonymous author of 'The index-writer' 	? 	1732 	anon2-1732 	EDUC TREAT 	n/a 
salt:/ppcmbe2/anon2-1732-2#sTok3291	many	many	Q	salt:/ppcmbe2/anon2-1732-2#structure1991	of many Men	PP	salt:/ppcmbe2/anon2-1732-2#structure1992	many Men	NP	salt:/ppcmbe2/anon2-1732-2#sTok3292	Men	man	NS	Anonymous author of 'The index-writer' 	? 	1732 	anon2-1732 	EDUC TREAT 	n/a 
salt:/ppcmbe2/anon2-1732-2#sTok3634	some	some	Q	salt:/ppcmbe2/anon2-1732-2#structure2196	some Man of Leisure and Judgment *ICH*-4 might be found out willing to take the Pains of making use of , and uniting their learned Labours towards finishing that Work	IP	salt:/ppcmbe2/anon2-1732-2#structure2197	some Man of Leisure and Judgment *ICH*-4	NP	salt:/ppcmbe2/anon2-1732-2#sTok3635	Man	man	N	Anonymous author of 'The index-writer' 	? 	1732 	anon2-1732 	EDUC TREAT 	n/a 
salt:/ppcmbe2/anon2-1732-2#sTok3773	each	each	Q	salt:/ppcmbe2/anon2-1732-2#structure2274	an Hour or two each Day will be thought *-2 too much by him	IP	salt:/ppcmbe2/anon2-1732-2#structure2275	an Hour or two each Day	NP	salt:/ppcmbe2/anon2-1732-2#sTok3774	Day	day	N	Anonymous author of 'The index-writer' 	? 	1732 	anon2-1732 	EDUC TREAT 	n/a 
salt:/ppcmbe2/anon2-1732-2#sTok7376	some	some	Q	salt:/ppcmbe2/anon2-1732-2#structure4465	*T*-1 some Men set up for Reputation	IP	salt:/ppcmbe2/anon2-1732-2#structure4466	some Men	NP	salt:/ppcmbe2/anon2-1732-2#sTok7377	Men	man	NS	Anonymous author of 'The index-writer' 	? 	1732 	anon2-1732 	EDUC TREAT 	n/a 
salt:/ppcmbe2/anon2-1732-2#sTok7591	all	all	Q	salt:/ppcmbe2/anon2-1732-2#structure4596	*T*-3 *pro* must be acknowledged , more or less , affect all Men	IP	salt:/ppcmbe2/anon2-1732-2#structure4600	all Men	NP	salt:/ppcmbe2/anon2-1732-2#sTok7592	Men	man	NS	Anonymous author of 'The index-writer' 	? 	1732 	anon2-1732 	EDUC TREAT 	n/a 
salt:/ppcmbe2/anon3-1772-2#sTok696	some	some	Q	salt:/ppcmbe2/anon3-1772-2#structure419	he had not understood some other philosophical books	IP	salt:/ppcmbe2/anon3-1772-2#structure421	some other philosophical books	NP	salt:/ppcmbe2/anon3-1772-2#sTok699	books	book	NS	anonymous 	b. ?, d. ? 	1772 	anon3-1772 	BIOGR OTHER 	n/a 
salt:/ppcmbe2/anon3-1772-2#sTok2147	half	half	Q	salt:/ppcmbe2/anon3-1772-2#structure1275	than half a year	PP	salt:/ppcmbe2/anon3-1772-2#structure1276	half a year	NP	salt:/ppcmbe2/anon3-1772-2#sTok2149	year	year	N	anonymous 	b. ?, d. ? 	1772 	anon3-1772 	BIOGR OTHER 	n/a 
salt:/ppcmbe2/anon3-1772-2#sTok2231	some	some	Q	salt:/ppcmbe2/anon3-1772-2#structure1318	his attachment to the Earl of Shaftesbury having procured him some powerful enemies	IP	salt:/ppcmbe2/anon3-1772-2#structure1325	some powerful enemies	NP	salt:/ppcmbe2/anon3-1772-2#sTok2233	enemies	enemy	NS	anonymous 	b. ?, d. ? 	1772 	anon3-1772 	BIOGR OTHER 	n/a 
