"id";"q_token";"q_lemma";"lemma";"text";"genre";"dialect";"plural";"singular";"count";"semantics";"orig";"oe reflex";"oe class";"oe stem";"oe gender";"period_simple";"period_sorted";"period_main"
"18744091";"no";"no";"blood";"CMMIRK";"";"WMO";0;1;"u";"s";"G";"blod";"Strong";"A-Stem";"N";"m3";"g_m3";"b_me"
"18751737";"all";"all";"blood";"CMMIRK";"";"WMO";0;1;"u";"s";"G";"blod";"Strong";"A-Stem";"N";"m3";"g_m3";"b_me"
"18753458";"moche";"much";"blood";"CMMIRK";"";"WMO";0;1;"u";"s";"G";"blod";"Strong";"A-Stem";"N";"m3";"g_m3";"b_me"
"18760106";"no";"no";"blood";"CMMIRK";"";"WMO";0;1;"u";"s";"G";"blod";"Strong";"A-Stem";"N";"m3";"g_m3";"b_me"
"19148617";"al";"all";"blood";"CMPURVEY";"";"SL";0;1;"u";"s";"G";"blod";"Strong";"A-Stem";"N";"m3";"g_m3";"b_me"
"19218202";"half";"half";"blood";"CMREYNAR";"";"EMO";0;1;"u";"s";"G";"blod";"Strong";"A-Stem";"N";"m4";"h_m4";"b_me"
"19228368";"no";"no";"blood";"CMREYNES";"";"EML";0;1;"u";"s";"G";"blod";"Strong";"A-Stem";"N";"m4";"h_m4";"b_me"
"17538892";"alle";"all";"book";"CMBENRUL";"";"NL";1;0;"c";"c";"G";"boc";"Weak";"Consonant-Stem";"F";"m3";"g_m3";"b_me"
"17550680";"na";"no";"book";"CMBENRUL";"";"NL";0;1;"c";"c";"G";"boc";"Weak";"Consonant-Stem";"F";"m3";"g_m3";"b_me"
"17656785";"menye";"many";"book";"CMBRUT3";"";"WML";1;0;"c";"c";"G";"boc";"Weak";"Consonant-Stem";"F";"m3";"g_m3";"b_me"
"17656837";"meny";"many";"book";"CMBRUT3";"";"WML";1;0;"c";"c";"G";"boc";"Weak";"Consonant-Stem";"F";"m3";"g_m3";"b_me"
"17684144";"many";"many";"book";"CMCAPCHR";"";"EML";1;0;"c";"c";"G";"boc";"Weak";"Consonant-Stem";"F";"m4";"h_m4";"b_me"
"17685801";"many";"many";"book";"CMCAPCHR";"";"EML";1;0;"c";"c";"G";"boc";"Weak";"Consonant-Stem";"F";"m4";"h_m4";"b_me"
"17692149";"many";"many";"book";"CMCAPCHR";"";"EML";1;0;"c";"c";"G";"boc";"Weak";"Consonant-Stem";"F";"m4";"h_m4";"b_me"
"17697008";"all";"all";"book";"CMCAPCHR";"";"EML";1;0;"c";"c";"G";"boc";"Weak";"Consonant-Stem";"F";"m4";"h_m4";"b_me"
"17700697";"many";"many";"book";"CMCAPCHR";"";"EML";1;0;"c";"c";"G";"boc";"Weak";"Consonant-Stem";"F";"m4";"h_m4";"b_me"
"17701468";"many";"many";"book";"CMCAPCHR";"";"EML";1;0;"c";"c";"G";"boc";"Weak";"Consonant-Stem";"F";"m4";"h_m4";"b_me"
"17732088";"many";"many";"book";"CMCAPCHR";"";"EML";1;0;"c";"c";"G";"boc";"Weak";"Consonant-Stem";"F";"m4";"h_m4";"b_me"
"17741671";"many";"many";"book";"CMCAPCHR";"";"EML";1;0;"c";"c";"G";"boc";"Weak";"Consonant-Stem";"F";"m4";"h_m4";"b_me"
"17741767";"many";"many";"book";"CMCAPCHR";"";"EML";1;0;"c";"c";"G";"boc";"Weak";"Consonant-Stem";"F";"m4";"h_m4";"b_me"
"17744130";"al";"all";"book";"CMCAPCHR";"";"EML";1;0;"c";"c";"G";"boc";"Weak";"Consonant-Stem";"F";"m4";"h_m4";"b_me"
"17789581";"many";"many";"book";"CMCAPSER";"";"EML";1;0;"c";"c";"G";"boc";"Weak";"Consonant-Stem";"F";"m4";"h_m4";"b_me"
"18236333";"every";"every";"book";"CMINNOCE";"";"EMO";0;1;"c";"c";"G";"boc";"Weak";"Consonant-Stem";"F";"m4";"h_m4";"b_me"
"18326533";"no";"no";"book";"CMKEMPE";"";"EMO";0;1;"c";"c";"G";"boc";"Weak";"Consonant-Stem";"F";"m4";"h_m4";"b_me"
"18394960";"many";"many";"book";"CMKEMPE";"";"EMO";0;1;"c";"c";"G";"boc";"Weak";"Consonant-Stem";"F";"m4";"h_m4";"b_me"
"18695364";"all";"all";"book";"CMMANDEV";"";"EML";1;0;"c";"c";"G";"boc";"Weak";"Consonant-Stem";"F";"m3";"g_m3";"b_me"
"18866541";"all";"all";"book";"cmorm.po.m1";"";"East Midlands (Southwest Lincolnshire)";0;1;"c";"c";"G";"boc";"Weak";"Consonant-Stem";"F";"m1";"e_m1";"b_me"
"18941570";"all";"all";"book";"cmorm.po.m1";"";"East Midlands (Southwest Lincolnshire)";0;1;"c";"c";"G";"boc";"Weak";"Consonant-Stem";"F";"m1";"e_m1";"b_me"
"19015223";"feawe";"few";"book";"CMPETERB";"";"EMO";1;0;"c";"c";"G";"boc";"Weak";"Consonant-Stem";"F";"m1";"e_m1";"b_me"
"19039323";"meny";"many";"book";"CMPOLYCH";"";"SL";1;0;"c";"c";"G";"boc";"Weak";"Consonant-Stem";"F";"m3";"g_m3";"b_me"
"19039368";"meny";"many";"book";"CMPOLYCH";"";"SL";1;0;"c";"c";"G";"boc";"Weak";"Consonant-Stem";"F";"m3";"g_m3";"b_me"
"19065126";"many";"many";"book";"CMPOLYCH";"";"SL";1;0;"c";"c";"G";"boc";"Weak";"Consonant-Stem";"F";"m3";"g_m3";"b_me"
"19124276";"alle";"all";"book";"CMPURVEY";"";"SL";1;0;"c";"c";"G";"boc";"Weak";"Consonant-Stem";"F";"m3";"g_m3";"b_me"
"19125136";"alle";"all";"book";"CMPURVEY";"";"SL";1;0;"c";"c";"G";"boc";"Weak";"Consonant-Stem";"F";"m3";"g_m3";"b_me"
"19126309";"alle";"all";"book";"CMPURVEY";"";"SL";1;0;"c";"c";"G";"boc";"Weak";"Consonant-Stem";"F";"m3";"g_m3";"b_me"
"19176554";"alle";"all";"book";"CMPURVEY";"";"SL";1;0;"c";"c";"G";"boc";"Weak";"Consonant-Stem";"F";"m3";"g_m3";"b_me"
"19179694";"Noo";"no";"book";"CMPURVEY";"";"SL";0;1;"c";"c";"G";"boc";"Weak";"Consonant-Stem";"F";"m3";"g_m3";"b_me"
"19181080";"no";"no";"book";"CMPURVEY";"";"SL";0;1;"c";"c";"G";"boc";"Weak";"Consonant-Stem";"F";"m3";"g_m3";"b_me"
"19202963";"alle";"all";"book";"CMPURVEY";"";"SL";1;0;"c";"c";"G";"boc";"Weak";"Consonant-Stem";"F";"m3";"g_m3";"b_me"
"19204919";"manie";"many";"book";"CMPURVEY";"";"SL";1;0;"c";"c";"G";"boc";"Weak";"Consonant-Stem";"F";"m3";"g_m3";"b_me"
"19229741";"ony";"any";"book";"CMREYNES";"";"EML";0;1;"c";"c";"G";"boc";"Weak";"Consonant-Stem";"F";"m4";"h_m4";"b_me"
"19271724";"many";"many";"book";"cmrollep.m24";"";"Northern (Yorkshire?)";1;0;"c";"c";"G";"boc";"Weak";"Consonant-Stem";"F";"m1";"e_m1";"b_me"
"17278937";"ane";"any";"brother";"CMANCRIW";"";"WMO";1;0;"c";"c";"G";"broþor";"Irregular";"Stem in -r";"M";"m1";"e_m1";"b_me"
"17483224";"alle";"all";"brother";"CMAYENBI";"";"KL";1;0;"c";"c";"G";"broþor";"Irregular";"Stem in -r";"M";"m2";"f_m2";"b_me"
"17828846";"alle";"all";"brother";"CMCTPROS";"";"EML";1;0;"c";"c";"G";"broþor";"Irregular";"Stem in -r";"M";"m3";"g_m3";"b_me"
"18137556";"alle";"all";"brother";"CMGREGOR";"";"SL";1;0;"c";"c";"G";"broþor";"Irregular";"Stem in -r";"M";"m4";"h_m4";"b_me"
"18344411";"alle";"all";"brother";"CMKEMPE";"";"EMO";1;0;"c";"c";"G";"broþor";"Irregular";"Stem in -r";"M";"m4";"h_m4";"b_me"
"18801285";"all";"all";"brother";"CMMIRK";"";"WMO";1;0;"c";"c";"G";"broþor";"Irregular";"Stem in -r";"M";"m3";"g_m3";"b_me"
"19012335";"alle";"all";"brother";"CMOTEST";"";"EML";1;0;"c";"c";"G";"broþor";"Irregular";"Stem in -r";"M";"m3";"g_m3";"b_me"
"19318444";"all";"all";"brother";"CMROYAL";"";"SL";1;0;"c";"c";"G";"broþor";"Irregular";"Stem in -r";"M";"m3";"g_m3";"b_me"
"19512470";"alle";"all";"brother";"CMVICES4";"";"EML";1;0;"c";"c";"G";"broþor";"Irregular";"Stem in -r";"M";"m3";"g_m3";"b_me"
"19512887";"alle";"all";"brother";"CMVICES4";"";"EML";1;0;"c";"c";"G";"broþor";"Irregular";"Stem in -r";"M";"m3";"g_m3";"b_me"
"19578428";"alle";"all";"brother";"CMWYCSER";"";"EML";1;0;"c";"c";"G";"broþor";"Irregular";"Stem in -r";"M";"m3";"g_m3";"b_me"
"19632228";"eche";"each";"brother";"CMWYCSER";"";"EML";0;1;"c";"c";"G";"broþor";"Irregular";"Stem in -r";"M";"m3";"g_m3";"b_me"
"19634276";"alle";"all";"brother";"CMWYCSER";"";"EML";1;0;"c";"c";"G";"broþor";"Irregular";"Stem in -r";"M";"m3";"g_m3";"b_me"
"17591554";"al";"all";"castle";"CMBRUT3";"";"WML";1;0;"c";"c";"R";"";"";"";"";"m3";"g_m3";"b_me"
"17617551";"no";"no";"castle";"CMBRUT3";"";"WML";0;1;"c";"c";"R";"";"";"";"";"m3";"g_m3";"b_me"
"17752928";"many";"many";"castle";"CMCAPCHR";"";"EML";1;0;"c";"c";"R";"";"";"";"";"m4";"h_m4";"b_me"
"17777757";"all";"all";"castle";"CMCAPCHR";"";"EML";0;1;"c";"c";"R";"";"";"";"";"m4";"h_m4";"b_me"
"18413586";"sumen";"some";"castle";"cmkentho.m1";"Homilies";"Kentish";0;1;"c";"c";"R";"";"";"";"";"m1";"e_m1";"b_me"
"18414796";"sum";"some";"castle";"cmkentho.m1";"Homilies";"Kentish";0;1;"c";"c";"R";"";"";"";"";"m1";"e_m1";"b_me"
"18414818";"sum";"some";"castle";"cmkentho.m1";"Homilies";"Kentish";0;1;"c";"c";"R";"";"";"";"";"m1";"e_m1";"b_me"
"18414939";"sum";"some";"castle";"cmkentho.m1";"Homilies";"Kentish";0;1;"c";"c";"R";"";"";"";"";"m1";"e_m1";"b_me"
"18753430";"mony";"many";"castle";"CMMIRK";"";"WMO";1;0;"c";"c";"R";"";"";"";"";"m3";"g_m3";"b_me"
"19017747";"ealla";"all";"castle";"CMPETERB";"";"EMO";1;0;"c";"c";"R";"";"";"";"";"m1";"e_m1";"b_me"
"19028665";"alle";"all";"castle";"CMPETERB";"";"EMO";1;0;"c";"c";"R";"";"";"";"";"m1";"e_m1";"b_me"
"19353718";"all";"all";"castle";"CMSIEGE";"";"WMO";1;0;"c";"c";"R";"";"";"";"";"m4";"h_m4";"b_me"
"17529713";"Mikil";"much";"charity";"CMBENRUL";"";"NL";0;1;"u";"a";"R";"";"";"";"";"m3";"g_m3";"b_me"
"17549785";"mikil";"much";"charity";"CMBENRUL";"";"NL";0;1;"u";"a";"R";"";"";"";"";"m3";"g_m3";"b_me"
"18315017";"al";"all";"charity";"CMKEMPE";"";"EMO";0;1;"u";"a";"R";"";"";"";"";"m4";"h_m4";"b_me"
"18393165";"alle";"all";"charity";"CMKEMPE";"";"EMO";0;1;"u";"a";"R";"";"";"";"";"m4";"h_m4";"b_me"
"18786596";"no";"no";"charity";"CMMIRK";"";"WMO";0;1;"u";"a";"R";"";"";"";"";"m3";"g_m3";"b_me"
"19298869";"no";"no";"charity";"CMROLLTR";"";"NO/EMO";0;1;"u";"a";"R";"";"";"";"";"m2";"f_m2";"b_me"
"19325982";"euery";"every";"charity";"CMROYAL";"";"SL";0;1;"u";"a";"R";"";"";"";"";"m3";"g_m3";"b_me"
"19578169";"noo";"no";"charity";"CMWYCSER";"";"EML";0;1;"u";"a";"R";"";"";"";"";"m3";"g_m3";"b_me"
"17244534";"noo";"no";"cloth";"CMAELR4";"";"EML";0;1;"u";"s";"G";"claþ";"Strong";"A-Stem";"M";"m4";"h_m4";"b_me"
"17772937";"no";"no";"cloth";"CMCAPCHR";"";"EML";0;1;"u";"s";"G";"claþ";"Strong";"A-Stem";"M";"m4";"h_m4";"b_me"
"18017835";"noo";"no";"cloth";"CMEDMUND";"";"EMO";0;1;"u";"s";"G";"claþ";"Strong";"A-Stem";"M";"m4";"h_m4";"b_me"
"18156157";"many";"many";"cloth";"CMGREGOR";"";"SL";0;1;"u";"s";"G";"claþ";"Strong";"A-Stem";"M";"m4";"h_m4";"b_me"
"18348887";"no";"no";"cloth";"CMKEMPE";"";"EMO";1;0;"u";"s";"G";"claþ";"Strong";"A-Stem";"M";"m4";"h_m4";"b_me"
"18564792";"all";"all";"cloth";"CMMALORY";"";"WML";1;0;"u";"s";"G";"claþ";"Strong";"A-Stem";"M";"m4";"h_m4";"b_me"
"18772367";"all";"all";"cloth";"CMMIRK";"";"WMO";1;0;"u";"s";"G";"claþ";"Strong";"A-Stem";"M";"m3";"g_m3";"b_me"
"18772455";"non";"no";"cloth";"CMMIRK";"";"WMO";1;0;"u";"s";"G";"claþ";"Strong";"A-Stem";"M";"m3";"g_m3";"b_me"
"18785861";"all";"all";"cloth";"CMMIRK";"";"WMO";1;0;"u";"s";"G";"claþ";"Strong";"A-Stem";"M";"m3";"g_m3";"b_me"
"17584903";"meny";"many";"country";"CMBRUT3";"";"WML";1;0;"c";"c";"R";"";"";"";"";"m3";"g_m3";"b_me"
"17590148";"euery";"every";"country";"CMBRUT3";"";"WML";0;1;"c";"c";"R";"";"";"";"";"m3";"g_m3";"b_me"
"17593882";"eny";"any";"country";"CMBRUT3";"";"WML";0;1;"c";"c";"R";"";"";"";"";"m3";"g_m3";"b_me"
"17612220";"al";"all";"country";"CMBRUT3";"";"WML";0;1;"c";"c";"R";"";"";"";"";"m3";"g_m3";"b_me"
"17632075";"euery";"every";"country";"CMBRUT3";"";"WML";0;1;"c";"c";"R";"";"";"";"";"m3";"g_m3";"b_me"
"17633948";"al";"all";"country";"CMBRUT3";"";"WML";0;1;"c";"c";"R";"";"";"";"";"m3";"g_m3";"b_me"
"17636735";"al";"all";"country";"CMBRUT3";"";"WML";0;1;"c";"c";"R";"";"";"";"";"m3";"g_m3";"b_me"
"17647890";"al";"all";"country";"CMBRUT3";"";"WML";0;1;"c";"c";"R";"";"";"";"";"m3";"g_m3";"b_me"
"17648754";"all";"all";"country";"CMBRUT3";"";"WML";0;1;"c";"c";"R";"";"";"";"";"m3";"g_m3";"b_me"
"17650727";"euery";"every";"country";"CMBRUT3";"";"WML";0;1;"c";"c";"R";"";"";"";"";"m3";"g_m3";"b_me"
"17652554";"al";"all";"country";"CMBRUT3";"";"WML";0;1;"c";"c";"R";"";"";"";"";"m3";"g_m3";"b_me"
