"corpus";"id";"det";"det_lemma";"context";"context_pos";"noun";"noun_lemma";"noun_pos";"Author";"Birthdate";"Date_of_composition";"Filename";"Genre";"Manuscript";"composition_year";"period_simple";"pde_count";"semantics";"orig";"oe_etymon";"oe_class";"oe_stem";"oe_gender"
"LModE";"salt:/ppcmbe2/adams-1787-2#sTok4447";"the";"the";"and the cellular substance";"CONJP";"substance";"substance";"N";"Adams, George";"b. 1750, d. 1795";"1787";"adams-1787";"SCIENCE OTHER";"n/a";1787;"l2";"c";"s";"R";"";"";"";""
"LModE";"salt:/ppcmbe2/adams-1787-2#sTok4467";"those";"those";"In those trees which 0 *T*-1 are famous for medicinal virtues";"PP";"trees";"tree";"NS";"Adams, George";"b. 1750, d. 1795";"1787";"adams-1787";"SCIENCE OTHER";"n/a";1787;"l2";"c";"c";"G";"treow";"Strong";"A-Stem";"N"
"LModE";"salt:/ppcmbe2/adams-1787-2#sTok4518";"a";"a";"a tree of that genus exhibits them best";"IP";"tree";"tree";"N";"Adams, George";"b. 1750, d. 1795";"1787";"adams-1787";"SCIENCE OTHER";"n/a";1787;"l2";"c";"c";"G";"treow";"Strong";"A-Stem";"N"
"LModE";"salt:/ppcmbe2/adams-1787-2#sTok4580";"the";"the";"of the tree";"PP";"tree";"tree";"N";"Adams, George";"b. 1750, d. 1795";"1787";"adams-1787";"SCIENCE OTHER";"n/a";1787;"l2";"c";"c";"G";"treow";"Strong";"A-Stem";"N"
"LModE";"salt:/ppcmbe2/adams-1787-2#sTok4641";"a";"a";"with a floccose , white , formless substance , of which 0 Dr. Hill suspects *T*-1 even the vessels themselves to be formed";"PP";"substance";"substance";"N";"Adams, George";"b. 1750, d. 1795";"1787";"adams-1787";"SCIENCE OTHER";"n/a";1787;"l2";"c";"s";"R";"";"";"";""
"LModE";"salt:/ppcmbe2/adams-1787-2#sTok4720";"the";"the";"of the year";"PP";"year";"year";"N";"Adams, George";"b. 1750, d. 1795";"1787";"adams-1787";"SCIENCE OTHER";"n/a";1787;"l2";"c";"a";"G";"gear";"Strong";"A-Stem";"N"
"LModE";"salt:/ppcmbe2/adams-1787-2#sTok4789";"the";"the";"*T*-1 covers or surrounds the wood";"IP";"wood";"wood";"N";"Adams, George";"b. 1750, d. 1795";"1787";"adams-1787";"SCIENCE OTHER";"n/a";1787;"l2";"u";"s";"G";"wudu";"Strong";"U-Stem";"M"
"LModE";"salt:/ppcmbe2/adams-1787-2#sTok4814";"the";"the";"and the wood";"CONJP";"wood";"wood";"N";"Adams, George";"b. 1750, d. 1795";"1787";"adams-1787";"SCIENCE OTHER";"n/a";1787;"l2";"u";"s";"G";"wudu";"Strong";"U-Stem";"M"
"LModE";"salt:/ppcmbe2/adams-1787-2#sTok4843";"the";"the";"the wood and the blea";"NP";"wood";"wood";"N";"Adams, George";"b. 1750, d. 1795";"1787";"adams-1787";"SCIENCE OTHER";"n/a";1787;"l2";"u";"s";"G";"wudu";"Strong";"U-Stem";"M"
"LModE";"salt:/ppcmbe2/adams-1787-2#sTok4850";"this";"this";"The ancient botanists , struck with the difference 0 0 *T*-1 they observed between the wood and the blea , compared this substance to the fat in animals .";"IP-MAT";"substance";"substance";"N";"Adams, George";"b. 1750, d. 1795";"1787";"adams-1787";"SCIENCE OTHER";"n/a";1787;"l2";"c";"s";"R";"";"";"";""
"LModE";"salt:/ppcmbe2/adams-1787-2#sTok4868";"the";"the";"as the wood not yet arrived to a state of perfection";"PP";"wood";"wood";"N";"Adams, George";"b. 1750, d. 1795";"1787";"adams-1787";"SCIENCE OTHER";"n/a";1787;"l2";"u";"s";"G";"wudu";"Strong";"U-Stem";"M"
"LModE";"salt:/ppcmbe2/adams-1787-2#sTok4884";"a";"a";"in a manner similar to the wood , and possessing the same vessels , disposed nearly in the same manner";"PP";"manner";"manner";"N";"Adams, George";"b. 1750, d. 1795";"1787";"adams-1787";"SCIENCE OTHER";"n/a";1787;"l2";"u";"a";"R";"";"";"";""
"LModE";"salt:/ppcmbe2/adams-1787-2#sTok4888";"the";"the";"to the wood";"PP";"wood";"wood";"N";"Adams, George";"b. 1750, d. 1795";"1787";"adams-1787";"SCIENCE OTHER";"n/a";1787;"l2";"u";"s";"G";"wudu";"Strong";"U-Stem";"M"
"LModE";"salt:/ppcmbe2/adams-1787-2#sTok4900";"the";"the";"nearly in the same manner";"PP";"manner";"manner";"N";"Adams, George";"b. 1750, d. 1795";"1787";"adams-1787";"SCIENCE OTHER";"n/a";1787;"l2";"u";"a";"R";"";"";"";""
"LModE";"salt:/ppcmbe2/adams-1787-2#sTok4946";"the";"the";"Of the Wood .";"PP";"Wood";"wood";"N";"Adams, George";"b. 1750, d. 1795";"1787";"adams-1787";"SCIENCE OTHER";"n/a";1787;"l2";"u";"s";"G";"wudu";"Strong";"U-Stem";"M"
"LModE";"salt:/ppcmbe2/adams-1787-2#sTok4965";"the";"the";"to the wood , which 0 *T*-1 is a solid substance , on which 0 *T*-2 the strength of the tree depends , and which 0 *T*-3 has been considered by naturalists as being to the tree what 0 *T*-4 bones are to the animal";"PP";"wood";"wood";"N";"Adams, George";"b. 1750, d. 1795";"1787";"adams-1787";"SCIENCE OTHER";"n/a";1787;"l2";"u";"s";"G";"wudu";"Strong";"U-Stem";"M"
"LModE";"salt:/ppcmbe2/adams-1787-2#sTok4972";"a";"a";"*T*-1 is a solid substance , on which 0 *T*-2 the strength of the tree depends";"IP";"substance";"substance";"N";"Adams, George";"b. 1750, d. 1795";"1787";"adams-1787";"SCIENCE OTHER";"n/a";1787;"l2";"c";"s";"R";"";"";"";""
"LModE";"salt:/ppcmbe2/adams-1787-2#sTok4983";"the";"the";"of the tree";"PP";"tree";"tree";"N";"Adams, George";"b. 1750, d. 1795";"1787";"adams-1787";"SCIENCE OTHER";"n/a";1787;"l2";"c";"c";"G";"treow";"Strong";"A-Stem";"N"
"LModE";"salt:/ppcmbe2/adams-1787-2#sTok4999";"the";"the";"to the tree";"PP";"tree";"tree";"N";"Adams, George";"b. 1750, d. 1795";"1787";"adams-1787";"SCIENCE OTHER";"n/a";1787;"l2";"c";"c";"G";"treow";"Strong";"A-Stem";"N"
"LModE";"salt:/ppcmbe2/adams-1787-2#sTok5011";"The";"the";"The wood , in a general view , may be considered as formed of strata , which 0 *T*-1 are inclosed one within the other ;";"IP-MAT";"wood";"wood";"N";"Adams, George";"b. 1750, d. 1795";"1787";"adams-1787";"SCIENCE OTHER";"n/a";1787;"l2";"u";"s";"G";"wudu";"Strong";"U-Stem";"M"
"LModE";"salt:/ppcmbe2/adams-1787-2#sTok5081";"the";"the";"of the wood";"PP";"wood";"wood";"N";"Adams, George";"b. 1750, d. 1795";"1787";"adams-1787";"SCIENCE OTHER";"n/a";1787;"l2";"u";"s";"G";"wudu";"Strong";"U-Stem";"M"
"LModE";"salt:/ppcmbe2/adams-1787-2#sTok5181";"the";"the";"we cut the same wood obliquely";"IP";"wood";"wood";"N";"Adams, George";"b. 1750, d. 1795";"1787";"adams-1787";"SCIENCE OTHER";"n/a";1787;"l2";"u";"s";"G";"wudu";"Strong";"U-Stem";"M"
"LModE";"salt:/ppcmbe2/adams-1787-2#sTok5226";"the";"the";"By macerating rotten pieces of trees , the wood may be divided into an immense number of leaves , or strata , thinner than the finest paper .";"IP-MAT";"wood";"wood";"N";"Adams, George";"b. 1750, d. 1795";"1787";"adams-1787";"SCIENCE OTHER";"n/a";1787;"l2";"u";"s";"G";"wudu";"Strong";"U-Stem";"M"
"LModE";"salt:/ppcmbe2/adams-1787-2#sTok5415";"the";"the";"of the wood";"PP";"wood";"wood";"N";"Adams, George";"b. 1750, d. 1795";"1787";"adams-1787";"SCIENCE OTHER";"n/a";1787;"l2";"u";"s";"G";"wudu";"Strong";"U-Stem";"M"
"LModE";"salt:/ppcmbe2/adams-1787-2#sTok5441";"the";"the";"of the wood";"PP";"wood";"wood";"N";"Adams, George";"b. 1750, d. 1795";"1787";"adams-1787";"SCIENCE OTHER";"n/a";1787;"l2";"u";"s";"G";"wudu";"Strong";"U-Stem";"M"
"LModE";"salt:/ppcmbe2/adams-1787-2#sTok5508";"the";"the";"of the wood";"PP";"wood";"wood";"N";"Adams, George";"b. 1750, d. 1795";"1787";"adams-1787";"SCIENCE OTHER";"n/a";1787;"l2";"u";"s";"G";"wudu";"Strong";"U-Stem";"M"
