"id";"q_token";"q_form";"q_lemma";"context";"token";"lemma";"plural";"singular";"author";"period";"dialect";"filename";"genre";"verse_or_prose";"foreign_original";"relationship_to_spoken_language";"prototypicaltext_category";"pde_count";"semantics";"orig";"oe_etymon";"oe_class";"oe_stem";"oe_gender";"period_simple";"period_sorted";"period_main"
"17371248";"ani";"ani";"any";"forto habben ani blisse $in $þis {TEXT:inþis} world . bute in Iesu cristes *ICH*-1 rode mi lauerd . þurch hwam 0 *T*-2 þe world is me $unwur+d & *T*-2 ich am unwur+d hire . as wari 0 þe *T*-3 is anhonged";"blisse";"bliss";"";"1";"X";"M1";"WMO";"CMANCRIW";"";"PROSE";"X";"WRITTEN";"INSTR REL";"u";"a";"G";"bliss";"Strong";"O-Stem";"F";"m1";"e_m1";"b_me"
"17371777";"al";"al";"all";"for al hare blisse is forto beon ahonged sariliche & scheomeliche wi+d Iesu on his rode .";"blisse";"bliss";"";"1";"X";"M1";"WMO";"CMANCRIW";"";"PROSE";"X";"WRITTEN";"INSTR REL";"u";"a";"G";"bliss";"Strong";"O-Stem";"F";"m1";"e_m1";"b_me"
"17396621";"alle";"alle";"all";"til alle uerdlike blisses";"blisses";"bliss";"1";"";"X";"M1";"WMO";"CMANCRIW";"";"PROSE";"X";"WRITTEN";"INSTR REL";"u";"a";"G";"bliss";"Strong";"O-Stem";"F";"m1";"e_m1";"b_me"
"17462855";"al";"al";"all";"al þe blisse of þise wordle / him ssolde by / drede : and wo . Rychesses : dong . worþssipes : uoulhede";"blisse";"bliss";"";"1";"DAN MICHEL";"M2";"KL";"CMAYENBI";"";"PROSE";"FRENCH";"WRITTEN";"INSTR REL";"u";"a";"G";"bliss";"Strong";"O-Stem";"F";"m2";"f_m2";"b_me"
"17476594";"alle";"alle";"all";"and alle þe blissen";"blissen";"bliss";"1";"";"DAN MICHEL";"M2";"KL";"CMAYENBI";"";"PROSE";"FRENCH";"WRITTEN";"INSTR REL";"u";"a";"G";"bliss";"Strong";"O-Stem";"F";"m2";"f_m2";"b_me"
"17476822";"alle";"alle";"all";"alle blisse / clene / and zoþe of herte / uor wop of penonce";"blisse";"bliss";"";"1";"DAN MICHEL";"M2";"KL";"CMAYENBI";"";"PROSE";"FRENCH";"WRITTEN";"INSTR REL";"u";"a";"G";"bliss";"Strong";"O-Stem";"F";"m2";"f_m2";"b_me"
"17510331";"al";"al";"all";"þanne on <P_269> onneaþe nymþ al his blisse";"blisse";"bliss";"";"1";"DAN MICHEL";"M2";"KL";"CMAYENBI";"";"PROSE";"FRENCH";"WRITTEN";"INSTR REL";"u";"a";"G";"bliss";"Strong";"O-Stem";"F";"m2";"f_m2";"b_me"
"17593070";"miche";"miche";"much";"with miche blisse";"blisse";"bliss";"";"1";"X";"M3";"WML";"CMBRUT3";"";"PROSE";"X";"WRITTEN";"NARR NON-IMAG";"u";"a";"G";"bliss";"Strong";"O-Stem";"F";"m3";"g_m3";"b_me"
"18258818";"alle";"alle";"all";"alle my blys";"blys";"bliss";"";"1";"JULIAN OF NORWICH";"M3/4";"EML";"CMJULNOR";"";"PROSE";"X";"WRITTEN";"INSTR REL";"u";"a";"G";"bliss";"Strong";"O-Stem";"F";"m3";"g_m3";"b_me"
"18272129";"euch";"euch";"each";"of euch blisse";"blisse";"bliss";"";"1";"X";"M1";"WMO";"CMKATHE";"";"PROSE";"X";"WRITTEN";"NARR NON-IMAG";"u";"a";"G";"bliss";"Strong";"O-Stem";"F";"m1";"e_m1";"b_me"
