"lemma","analysis_period","q_many_n","q_many_total","number_plural_n","number_plural_total","det_a_n","det_a_total","q_plural_n","q_plural_total","det_plural_n","det_plural_total","semantics","q_many_prop","q_many_prop_smoothed","q_many_logit_smoothed","number_plural_prop","number_plural_prop_smoothed","number_plural_logit_smoothed","det_a_prop","det_a_prop_smoothed","det_a_logit_smoothed","q_plural_prop","q_plural_prop_smoothed","q_plural_logit_smoothed","det_plural_prop","det_plural_prop_smoothed","det_plural_logit_smoothed","has_q_many","has_number_plural","has_det_a","complete_primary","min_primary_total","primary_total"
"virtue","k_l2",1,1,46,178,3,13,2,10,15,30,"a",1,0.75,1.09861228866811,0.258426966292135,0.259776536312849,-1.04713033283297,0.230769230769231,0.25,-1.09861228866811,0.2,0.227272727272727,-1.22377543162212,0.5,0.5,0,TRUE,TRUE,TRUE,TRUE,1,192
"water","k_l2",0,3,20,352,3,97,0,11,15,117,"s",0,0.125,-1.94591014905531,0.0568181818181818,0.0580736543909348,-2.78621497395155,0.0309278350515464,0.0357142857142857,-3.29583686600433,0,0.0416666666666667,-3.13549421592915,0.128205128205128,0.13135593220339,-1.88902277465326,TRUE,TRUE,TRUE,TRUE,3,452
"wet","k_l2",0,0,0,5,0,0,0,0,0,0,"s",,0.5,0,0,0.0833333333333333,-2.39789527279837,,0.5,0,,0.5,0,,0.5,0,FALSE,TRUE,FALSE,FALSE,0,5
"wife","k_l2",0,0,27,219,26,37,0,0,3,40,"c",,0.5,0,0.123287671232877,0.125,-1.94591014905531,0.702702702702703,0.697368421052632,0.834797697622972,,0.5,0,0.075,0.0853658536585366,-2.371577964481,FALSE,TRUE,TRUE,FALSE,0,256
"wisdom","k_l2",0,0,0,73,0,24,0,1,0,25,"a",,0.5,0,0,0.00675675675675676,-4.99043258677874,0,0.02,-3.89182029811063,0,0.25,-1.09861228866811,0,0.0192307692307692,-3.93182563272433,FALSE,TRUE,TRUE,FALSE,0,97
"wood","k_l2",0,0,19,135,4,64,1,2,6,70,"s",,0.5,0,0.140740740740741,0.143382352941176,-1.78747680743605,0.0625,0.0692307692307692,-2.59856596826052,0.5,0.5,0,0.0857142857142857,0.0915492957746479,-2.29486304690014,FALSE,TRUE,TRUE,FALSE,0,199
"work","k_l2",3,3,105,250,18,64,12,22,46,127,"a",1,0.875,1.94591014905531,0.42,0.420318725099602,-0.321465133695426,0.28125,0.284615384615385,-0.921681580509032,0.545454545454545,0.543478260869565,0.174353387144778,0.362204724409449,0.36328125,-0.561150707653506,TRUE,TRUE,TRUE,TRUE,3,317
"year","k_l2",21,21,442,777,40,217,59,96,65,304,"a",1,0.977272727272727,3.76120011569356,0.568854568854569,0.568766066838046,0.276818508036248,0.184331797235023,0.185779816513761,-1.47766863480298,0.614583333333333,0.61340206185567,0.461635379575219,0.213815789473684,0.214754098360656,-1.29650327420976,TRUE,TRUE,TRUE,TRUE,21,1015
"ale","l_l3",0,0,0,4,0,1,0,0,0,1,"s",,0.5,0,0,0.1,-2.19722457733622,0,0.25,-1.09861228866811,,0.5,0,0,0.25,-1.09861228866811,FALSE,TRUE,TRUE,FALSE,0,5
"bishop","l_l3",0,0,20,39,3,15,0,1,13,28,"c",,0.5,0,0.512820512820513,0.5125,0.0500104205746612,0.2,0.21875,-1.27296567581289,0,0.25,-1.09861228866811,0.464285714285714,0.46551724137931,-0.138150338480817,FALSE,TRUE,TRUE,FALSE,0,54
