"lemma","analysis_period","q_many_n","q_many_total","number_plural_n","number_plural_total","det_a_n","det_a_total","q_plural_n","q_plural_total","det_plural_n","det_plural_total","semantics","q_many_prop","q_many_prop_smoothed","q_many_logit_smoothed","number_plural_prop","number_plural_prop_smoothed","number_plural_logit_smoothed","det_a_prop","det_a_prop_smoothed","det_a_logit_smoothed","q_plural_prop","q_plural_prop_smoothed","q_plural_logit_smoothed","det_plural_prop","det_plural_prop_smoothed","det_plural_logit_smoothed","has_q_many","has_number_plural","has_det_a","complete_primary","min_primary_total","primary_total"
"cloth","a_oe",0,0,23,145,0,0,0,0,0,0,"s",,0.5,0,0.158620689655172,0.160958904109589,-1.65111060883467,,0.5,0,,0.5,0,,0.5,0,FALSE,TRUE,FALSE,FALSE,0,145
"craft","a_oe",3,6,107,309,0,0,0,0,0,0,"a",0.5,0.5,0,0.346278317152104,0.346774193548387,-0.633249038978876,,0.5,0,,0.5,0,,0.5,0,TRUE,TRUE,FALSE,FALSE,0,315
"daughter","a_oe",0,0,69,405,0,0,0,0,0,0,"c",,0.5,0,0.17037037037037,0.171182266009852,-1.57727139651404,,0.5,0,,0.5,0,,0.5,0,FALSE,TRUE,FALSE,FALSE,0,405
"day","a_oe",21,33,1193,4034,0,0,0,0,0,0,"a",0.636363636363636,0.632352941176471,0.542324290825361,0.29573624194348,0.295786864931846,-0.867441914958291,,0.5,0,,0.5,0,,0.5,0,TRUE,TRUE,FALSE,FALSE,0,4067
"death","a_oe",0,0,9,1327,0,0,0,0,0,0,"a",,0.5,0,0.00678221552373775,0.00715361445783132,-4.93295820718685,,0.5,0,,0.5,0,,0.5,0,FALSE,TRUE,FALSE,FALSE,0,1327
"devil","a_oe",1,6,330,1433,0,0,0,0,0,0,"c",0.166666666666667,0.214285714285714,-1.29928298413026,0.230286113049546,0.23047419804742,-1.20563556640505,,0.5,0,,0.5,0,,0.5,0,TRUE,TRUE,FALSE,FALSE,0,1439
"doom","a_oe",0,31,99,613,0,0,0,0,0,0,"a",0,0.015625,-4.14313472639153,0.161500815660685,0.162052117263844,-1.64303791110956,,0.5,0,,0.5,0,,0.5,0,TRUE,TRUE,FALSE,FALSE,0,644
"dust","a_oe",0,0,2,239,0,0,0,0,0,0,"s",,0.5,0,0.00836820083682008,0.0104166666666667,-4.55387689160054,,0.5,0,,0.5,0,,0.5,0,FALSE,TRUE,FALSE,FALSE,0,239
"earth","a_oe",0,1,3,1289,0,0,0,0,0,0,"s",0,0.25,-1.09861228866811,0.00232738557020946,0.00271317829457364,-5.90691766322643,,0.5,0,,0.5,0,,0.5,0,TRUE,TRUE,FALSE,FALSE,0,1290
"eced_acid","a_oe",0,0,0,191,0,0,0,0,0,0,"s",,0.5,0,0,0.00260416666666667,-5.94803498918065,,0.5,0,,0.5,0,,0.5,0,FALSE,TRUE,FALSE,FALSE,0,191
