1_id	1_span	1_anno_ptb:pos	1_meta_Author	1_meta_Date	1_meta_Dialect	1_meta_File_name	1_meta_Foreign_original	1_meta_Genre	1_meta_Period	1_meta_Prototypicaltext_category	1_meta_Relationship_to_spoken_language	1_meta_Text_name	1_meta_Verse_or_prose	2_id	2_span	2_anno_ptb:cat	3_id	3_span	3_anno_ptb:cat	4_id	4_span	4_anno_ptb:pos	5_id	5_span	5_anno_ptb:pos	6_id	6_span	6_anno_ptb:cat	7_id	7_span	7_anno_ptb:cat
18420808	nan	Q	'NULL'	'NULL'	Kentish	cmkentho.m1	'NULL'	Homilies	m1	'NULL'	'NULL'	Kentish Homilies	'NULL'	18420806	*con* nelle+d nan yfel don	IP	18420809	nan yfel	NP	18420810	yfel	N	18420810	yfel	N	18420809	nan yfel	NP	18420809	nan yfel	NP
18420875	nan	Q	'NULL'	'NULL'	Kentish	cmkentho.m1	'NULL'	Homilies	m1	'NULL'	'NULL'	Kentish Homilies	'NULL'	18420872	gode mannen nan yfel	IP	18420876	nan yfel	NP	18420877	yfel	N	18420877	yfel	N	18420876	nan yfel	NP	18420876	nan yfel	NP
18426507	none	Q	X	'NULL'	KL	CMKENTSE	X	'NULL'	M2	INSTR REL	WRITTEN	'NULL'	PROSE	18426506	+turch none euele iwil	PP	18426508	none euele iwil	NP	18426510	iwil	N	18426510	iwil	N	18426508	none euele iwil	NP	18426508	none euele iwil	NP
18427214	al	Q	X	'NULL'	KL	CMKENTSE	X	'NULL'	M2	INSTR REL	WRITTEN	'NULL'	PROSE	18427209	and *con* beneme hem al here euel with ute ende .	IP-MAT-SPE	18427215	al here euel	NP	18427217	euel	N	18427217	euel	N	18427215	al here euel	NP	18427215	al here euel	NP
18427335	alle	Q	X	'NULL'	KL	CMKENTSE	X	'NULL'	M2	INSTR REL	WRITTEN	'NULL'	PROSE	18427334	of alle eueles	PP	18427336	alle eueles	NP	18427337	eueles	NS	18427337	eueles	NS	18427336	alle eueles	NP	18427336	alle eueles	NP
18434346	nan	Q	X	'NULL'	WMO	CMLAMBET	X	'NULL'	MX/1	INSTR REL	WRITTEN	'NULL'	PROSE	18434336	ho ne scal of +tere wunde habbe nan o+der uuel	IP	18434347	nan o+der uuel	NP	18434349	uuel	N	18434349	uuel	N	18434347	nan o+der uuel	NP	18434347	nan o+der uuel	NP
18437261	alle	Q	X	'NULL'	WMO	CMLAMBET	X	'NULL'	MX/1	INSTR REL	WRITTEN	'NULL'	PROSE	18437260	of alle uuele	PP	18437262	alle uuele	NP	18437263	uuele	N	18437263	uuele	N	18437262	alle uuele	NP	18437262	alle uuele	NP
18471183	alle	Q	X	'NULL'	WMO	CMLAMBET	X	'NULL'	MX/1	INSTR REL	WRITTEN	'NULL'	PROSE	18471182	of alle uuele	PP	18471184	alle uuele	NP	18471185	uuele	NS	18471185	uuele	NS	18471184	alle uuele	NP	18471184	alle uuele	NP
18605266	non	Q	X	'NULL'	EML	CMMANDEV	FRENCH	'NULL'	M3	NARR IMAG	WRITTEN	'NULL'	PROSE	18605256	For as for himself he hadde non euyll deserued	IP-MAT	18605267	non euyll	NP	18605268	euyll	N	18605268	euyll	N	18605267	non euyll	NP	18605267	non euyll	NP
18770369	non	Q	MIRK JOHN	'NULL'	WMO	CMMIRK	X	'NULL'	M3/4	INSTR REL	X	'NULL'	PROSE	18770365	for +ter nys non euel 0 +tat *T*-2 go+te so nygh +te de+te *ICH*-3 wyth scapyng as 0 0 *T*-4 do+te hit .	IP-MAT	18770370	non euel 0 +tat *T*-2 go+te so nygh +te de+te *ICH*-3 wyth scapyng as 0 0 *T*-4 do+te hit	NP	18770371	euel	N	18770371	euel	N	18770370	non euel 0 +tat *T*-2 go+te so nygh +te de+te *ICH*-3 wyth scapyng as 0 0 *T*-4 do+te hit	NP	18770370	non euel 0 +tat *T*-2 go+te so nygh +te de+te *ICH*-3 wyth scapyng as 0 0 *T*-4 do+te hit	NP
