1_id	1_span	1_anno_ptb:pos	1_meta_Author	1_meta_Dialect	1_meta_File_name	1_meta_Foreign_original	1_meta_Genre	1_meta_Period	1_meta_Prototypicaltext_category	1_meta_Relationship_to_spoken_language	1_meta_Text_name	1_meta_Verse_or_prose	2_id	2_span	2_anno_ptb:cat	3_id	3_span	3_anno_ptb:cat	4_id	4_span	4_anno_ptb:pos	5_id	5_span	5_anno_ptb:pos	6_id	6_span	6_anno_ptb:cat	7_id	7_span	7_anno_ptb:cat
18015101	alle	Q	X	EML	CMEARLPS	LATIN/FRENCH	'NULL'	M2	X	WRITTEN	'NULL'	PROSE	18015100	vp alle his werkes	PP	18015102	alle his werkes	NP	18015104	werkes	NS	18015104	werkes	NS	18015102	alle his werkes	NP	18015102	alle his werkes	NP
18015117	al	Q	X	EML	CMEARLPS	LATIN/FRENCH	'NULL'	M2	X	WRITTEN	'NULL'	PROSE	18015112	Shriue , Lord , al +ty werkes to +te ,	IP-MAT	18015118	al +ty werkes	NP	18015120	werkes	NS	18015120	werkes	NS	18015118	al +ty werkes	NP	18015118	al +ty werkes	NP
18015257	alle	Q	X	EML	CMEARLPS	LATIN/FRENCH	'NULL'	M2	X	WRITTEN	'NULL'	PROSE	18015256	in alle his werkes	PP	18015258	alle his werkes	NP	18015260	werkes	NS	18015260	werkes	NS	18015258	alle his werkes	NP	18015258	alle his werkes	NP
18015386	alle	Q	X	EML	CMEARLPS	LATIN/FRENCH	'NULL'	M2	X	WRITTEN	'NULL'	PROSE	18015385	in alle his werkes	PP	18015387	alle his werkes	NP	18015389	werkes	NS	18015389	werkes	NS	18015387	alle his werkes	NP	18015387	alle his werkes	NP
18033959	all	Q	?	North	cmedthor.m34	'NULL'	'NULL'	M34	'NULL'	'NULL'	'NULL'	PROSE	18033958	and all his werkes	CONJP	18033960	all his werkes	NP	18033962	werkes	NS	18033962	werkes	NS	18033960	all his werkes	NP	18033960	all his werkes	NP
18112999	na	Q	GAYTRYGE DAN JON	NO	CMGAYTRY	X	'NULL'	M3/4	INSTR REL	q\tX	'NULL'	PROSE	18112998	ne na werke with-owtten trouthe may pay Godd Almyghtty .	IP-MAT	18113000	na werke with-owtten trouthe	NP	18113001	werke	N	18113001	werke	N	18113000	na werke with-owtten trouthe	NP	18113000	na werke with-owtten trouthe	NP
18212246	alle	Q	HILTON WALTER	EMO	CMHILTON	X	'NULL'	M3/4	INSTR REL	WRITTEN	'NULL'	PROSE	18212245	a+geins alle wickide werkis , wickide wordis and wickide willis and +tou+gtis	PP	18212247	alle wickide werkis , wickide wordis and wickide willis and +tou+gtis	NP	18212249	werkis	NS	18212249	werkis	NS	18212247	alle wickide werkis , wickide wordis and wickide willis and +tou+gtis	NP	18212247	alle wickide werkis , wickide wordis and wickide willis and +tou+gtis	NP
18213631	summe	Q	HILTON WALTER	EMO	CMHILTON	X	'NULL'	M3/4	INSTR REL	WRITTEN	'NULL'	PROSE	18213626	a man to bigynne summe werkis so ouerpassyngli , +tat he may not contynue in hem	IP	18213632	summe werkis	NP	18213633	werkis	NS	18213633	werkis	NS	18213632	summe werkis	NP	18213632	summe werkis	NP
18283530	Alle	Q	KEMPE MARGERY	EMO	CMKEMPE	X	'NULL'	M4	INSTR REL	WRITTEN	'NULL'	PROSE	18283531	Alle +te werkys of ower Saviowr ben for ower exampyl & instruccyon ,	IP-MAT	18283532	Alle +te werkys of ower Saviowr	NP	18283534	werkys	NS	18283534	werkys	NS	18283532	Alle +te werkys of ower Saviowr	NP	18283532	Alle +te werkys of ower Saviowr	NP
18298347	alle	Q	KEMPE MARGERY	EMO	CMKEMPE	X	'NULL'	M4	INSTR REL	WRITTEN	'NULL'	PROSE	18298346	of alle +te god werkys 0 +tat *T*-1 +tow werkyst in me	PP	18298348	alle +te god werkys 0 +tat *T*-1 +tow werkyst in me	NP	18298351	werkys	NS	18298351	werkys	NS	18298348	alle +te god werkys 0 +tat *T*-1 +tow werkyst in me	NP	18298348	alle +te god werkys 0 +tat *T*-1 +tow werkyst in me	NP
18330755	alle	Q	KEMPE MARGERY	EMO	CMKEMPE	X	'NULL'	M4	INSTR REL	WRITTEN	'NULL'	PROSE	18330754	in alle hys werkys	PP	18330756	alle hys werkys	NP	18330758	werkys	NS	18330758	werkys	NS	18330756	alle hys werkys	NP	18330756	alle hys werkys	NP
18415914	ealla	Q	'NULL'	Kentish	cmkentho.m1	'NULL'	Homilies	m1	'NULL'	'NULL'	Kentish Homilies	'NULL'	18415896	And swa swa 0 0 *T*-3 we hit mugen scortlice belucan , ealla +ta six mildheortnysse weorcas , 0 +te *T*-1 God geopene+d on domesd+aige loc hw+anne 0 he cwe+d+d , ' Eall +tt 0 +tt *T*-2 ge dyden anen minre l+asten , +tt ge dyden me sylfen , ' ealla +ta ilca heo dyde synderlice & fur+derlucor +tone +anig o+der , na on +anigen o+dren lytlen , ac on +tan sylfen Godes Sunen .	IP-MAT	18415915	ealla +ta six mildheortnysse weorcas , 0 +te *T*-1 God geopene+d on domesd+aige loc hw+anne 0 he cwe+d+d , ' Eall +tt 0 +tt *T*-2 ge dyden anen minre l+asten , +tt ge dyden me sylfen	NP	18415920	weorcas	NS	18415920	weorcas	NS	18415915	ealla +ta six mildheortnysse weorcas , 0 +te *T*-1 God geopene+d on domesd+aige loc hw+anne 0 he cwe+d+d , ' Eall +tt 0 +tt *T*-2 ge dyden anen minre l+asten , +tt ge dyden me sylfen	NP	18415915	ealla +ta six mildheortnysse weorcas , 0 +te *T*-1 God geopene+d on domesd+aige loc hw+anne 0 he cwe+d+d , ' Eall +tt 0 +tt *T*-2 ge dyden anen minre l+asten , +tt ge dyden me sylfen	NP
18426500	none	Q	X	KL	CMKENTSE	X	'NULL'	M2	INSTR REL	WRITTEN	'NULL'	PROSE	18426499	+turch none euele werkes	PP	18426501	none euele werkes	NP	18426503	werkes	NS	18426503	werkes	NS	18426501	none euele werkes	NP	18426501	none euele werkes	NP
18445520	feole	Q	X	WMO	CMLAMBET	X	'NULL'	MX/1	INSTR REL	WRITTEN	'NULL'	PROSE	18445519	and feole o+dre godere werke 0 +te *T*-3 nu were long 0 *T*-5 eou to telle	CONJP	18445521	feole o+dre godere werke 0 +te *T*-3 nu were long 0 *T*-5 eou to telle	NP	18445524	werke	NS	18445524	werke	NS	18445521	feole o+dre godere werke 0 +te *T*-3 nu were long 0 *T*-5 eou to telle	NP	18445521	feole o+dre godere werke 0 +te *T*-3 nu were long 0 *T*-5 eou to telle	NP
18460610	alle	Q	X	WMO	CMLAMBET	X	'NULL'	MX/1	INSTR REL	WRITTEN	'NULL'	PROSE	18460609	for alle +tine weorkes	PP	18460611	alle +tine weorkes	NP	18460613	weorkes	NS	18460613	weorkes	NS	18460611	alle +tine weorkes	NP	18460611	alle +tine weorkes	NP
18813039	any	Q	MIRK JOHN	WMO	CMMIRK	X	'NULL'	M3/4	INSTR REL	X	'NULL'	PROSE	18813038	wythouten any werke of man	PP	18813040	any werke of man	NP	18813041	werke	N	18813041	werke	N	18813040	any werke of man	NP	18813040	any werke of man	NP
18862704	many	Q	X	SL	CMNTEST	LATIN	'NULL'	M3	X	WRITTEN	'NULL'	PROSE	18862696	Y haue schewide to +gou many good werkis of my fadir	IP	18862705	many good werkis of my fadir	NP	18862707	werkis	NS	18862707	werkis	NS	18862705	many good werkis of my fadir	NP	18862705	many good werkis of my fadir	NP
18945834	all	Q	?	East Midlands (Southwest Lincolnshire)	cmorm.po.m1	'NULL'	'NULL'	M1	'NULL'	'NULL'	'NULL'	VERSE	18945833	off all +tatt hall+ghe werrc , | | 0 +Tatt *T*-2 Crist onn er+te wrohhte | | Inn ure bodi+g 0 +tatt *T*-3 he toc | | Off Sannte Mar+gess kinde	PP	18945835	all +tatt hall+ghe werrc , | | 0 +Tatt *T*-2 Crist onn er+te wrohhte | | Inn ure bodi+g 0 +tatt *T*-3 he toc | | Off Sannte Mar+gess kinde	NP	18945838	werrc	N	18945838	werrc	N	18945835	all +tatt hall+ghe werrc , | | 0 +Tatt *T*-2 Crist onn er+te wrohhte | | Inn ure bodi+g 0 +tatt *T*-3 he toc | | Off Sannte Mar+gess kinde	NP	18945835	all +tatt hall+ghe werrc , | | 0 +Tatt *T*-2 Crist onn er+te wrohhte | | Inn ure bodi+g 0 +tatt *T*-3 he toc | | Off Sannte Mar+gess kinde	NP
18954987	all	Q	?	East Midlands (Southwest Lincolnshire)	cmorm.po.m1	'NULL'	'NULL'	M1	'NULL'	'NULL'	'NULL'	VERSE	18954986	& all hiss werrc	CONJP	18954988	all hiss werrc	NP	18954990	werrc	N	18954990	werrc	N	18954988	all hiss werrc	NP	18954988	all hiss werrc	NP
18974512	all	Q	?	East Midlands (Southwest Lincolnshire)	cmorm.po.m1	'NULL'	'NULL'	M1	'NULL'	'NULL'	'NULL'	VERSE	18974513	all hiss werrc & all hiss will	NP	18974514	all hiss werrc	NP	18974516	werrc	N	18974516	werrc	N	18974514	all hiss werrc	NP	18974514	all hiss werrc	NP
18996094	al	Q	X	EML	CMOTEST	LATIN	'NULL'	M3	X	WRITTEN	'NULL'	PROSE	18996093	fro al his werk which 0 *T*-1 he hadde maad	PP	18996095	al his werk which 0 *T*-1 he hadde maad	NP	18996097	werk	N	18996097	werk	N	18996095	al his werk which 0 *T*-1 he hadde maad	NP	18996095	al his werk which 0 *T*-1 he hadde maad	NP
18996141	al	Q	X	EML	CMOTEST	LATIN	'NULL'	M3	X	WRITTEN	'NULL'	PROSE	18996140	of al his werk which 0 *T*-1 he made of nou+gt , 0 that *T*-2 he schulde make	PP	18996142	al his werk which 0 *T*-1 he made of nou+gt , 0 that *T*-2 he schulde make	NP	18996144	werk	N	18996144	werk	N	18996142	al his werk which 0 *T*-1 he made of nou+gt , 0 that *T*-2 he schulde make	NP	18996142	al his werk which 0 *T*-1 he made of nou+gt , 0 that *T*-2 he schulde make	NP
19000568	alle	Q	X	EML	CMOTEST	LATIN	'NULL'	M3	X	WRITTEN	'NULL'	PROSE	19000567	and alle werk beestis in her kynde	CONJP	19000569	alle werk beestis in her kynde	NP	19000570	werk	N	19000570	werk	N	19000569	alle werk beestis in her kynde	NP	19000569	alle werk beestis in her kynde	NP
19001129	alle	Q	X	EML	CMOTEST	LATIN	'NULL'	M3	X	WRITTEN	'NULL'	PROSE	19001128	of alle werk beestis	PP	19001130	alle werk beestis	NP	19001131	werk	N	19001131	werk	N	19001130	alle werk beestis	NP	19001130	alle werk beestis	NP
19027257	mani	Q	X	EMO	CMPETERB	X	'NULL'	M1	NARR NON-IMAG	WRITTEN	'NULL'	PROSE	19027254	& *con* makede mani weorkes	IP-MAT	19027258	mani weorkes	NP	19027259	weorkes	NS	19027259	weorkes	NS	19027258	mani weorkes	NP	19027258	mani weorkes	NP
19134213	alle	Q	PURVEY JOHN	SL	CMPURVEY	X	'NULL'	M3	INSTR REL	WRITTEN	'NULL'	PROSE	19134212	in alle werkis of her hondis	PP	19134214	alle werkis of her hondis	NP	19134215	werkis	NS	19134215	werkis	NS	19134214	alle werkis of her hondis	NP	19134214	alle werkis of her hondis	NP
19164242	alle	Q	PURVEY JOHN	SL	CMPURVEY	X	'NULL'	M3	INSTR REL	WRITTEN	'NULL'	PROSE	19164241	in alle hise werkis	PP	19164243	alle hise werkis	NP	19164245	werkis	NS	19164245	werkis	NS	19164243	alle hise werkis	NP	19164243	alle hise werkis	NP
19165793	alle	Q	PURVEY JOHN	SL	CMPURVEY	X	'NULL'	M3	INSTR REL	WRITTEN	'NULL'	PROSE	19165792	in alle the werkis of her hondis	PP	19165794	alle the werkis of her hondis	NP	19165796	werkis	NS	19165796	werkis	NS	19165794	alle the werkis of her hondis	NP	19165794	alle the werkis of her hondis	NP
19245078	al	Q	Richard Rolle	Northern (Yorkshire?)	cmrollep.m24	'NULL'	'NULL'	M1	'NULL'	'NULL'	'NULL'	PROSE	19245077	in al +ti werkis	PP	19245079	al +ti werkis	NP	19245081	werkis	NS	19245081	werkis	NS	19245079	al +ti werkis	NP	19245079	al +ti werkis	NP
19246734	som	Q	Richard Rolle	Northern (Yorkshire?)	cmrollep.m24	'NULL'	'NULL'	M1	'NULL'	'NULL'	'NULL'	PROSE	19246732	*con* wirke som notabil warke	IP	19246735	som notabil warke	NP	19246737	warke	N	19246737	warke	N	19246735	som notabil warke	NP	19246735	som notabil warke	NP
