1_id;1_span;1_span_lemma;1_anno_ptb::pos;2_id;2_span;2_span_lemma;2_anno_ptb::pos;3_id;3_span;3_anno_ptb::cat;meta_Cameron_number;meta_DOE_short_title;meta_Dialect;meta_Edition;meta_Genre;meta_Latin_translation;meta_Manuscript;meta_Manuscript_date;meta_Remarks;meta_Sawyer_number;meta_Word_count;meta_filename;meta_period;meta_text_name;PDE word
salt:/ycoe/cocathom1.o3#sTok52397;biscopum;bisceop;N^D;salt:/ycoe/cocathom1.o3#sTok52396;eallum;eal;Q^D;salt:/ycoe/cocathom1.o3#structure29574;eallum biscopum;NP;B1.1.2 - B1.1.42;ÆCHom I;West Saxon;"Clemoes, P. 1997. ""Ælfric's Catholic Homilies: The First Series."" EETS s.s. 17. Oxford: OUP.";Homilies;No;Cambridge, University Library, Gg.3.28;s. x/xi;;;106,173;cocathom1.o3;o3;Ælfric's  Catholic Homilies I;bishop
salt:/ycoe/cocathom1.o3#sTok54711;biscop;bisceop;N^N;salt:/ycoe/cocathom1.o3#sTok54710;Ælc;ǽlc;Q^N;salt:/ycoe/cocathom1.o3#structure30895;Ælc biscop;NP;B1.1.2 - B1.1.42;ÆCHom I;West Saxon;"Clemoes, P. 1997. ""Ælfric's Catholic Homilies: The First Series."" EETS s.s. 17. Oxford: OUP.";Homilies;No;Cambridge, University Library, Gg.3.28;s. x/xi;;;106,173;cocathom1.o3;o3;Ælfric's  Catholic Homilies I;bishop
salt:/ycoe/cocathom1.o3#sTok105620;biscop;bisceop;N^N;salt:/ycoe/cocathom1.o3#sTok105618;Sum;sum;Q^N;salt:/ycoe/cocathom1.o3#structure59908;Sum halig biscop *ICH*-1 *ICH*-2;NP;B1.1.2 - B1.1.42;ÆCHom I;West Saxon;"Clemoes, P. 1997. ""Ælfric's Catholic Homilies: The First Series."" EETS s.s. 17. Oxford: OUP.";Homilies;No;Cambridge, University Library, Gg.3.28;s. x/xi;;;106,173;cocathom1.o3;o3;Ælfric's  Catholic Homilies I;bishop
salt:/ycoe/cochronA.o23#sTok2807;biscopas;bisceop;N^N;salt:/ycoe/cochronA.o23#sTok2805;ealle;eal;Q^N;salt:/ycoe/cochronA.o23#structure1612;ealle Scotta biscopas;NP;B17.1;ChronA;West Saxon;"Plummer, Charles. 1965 (1892-1899). ""Two of the Saxon Chronicles Parallel."" Oxford: Clarendon Press. Reissued D. Whitelock, Oxford 1952.";History;No;Cambridge, Corpus Christi College, 173;s. ix/x-x2;Attached to the filename within the ID is an indication of scribe, where cochronA-1 indicates scribe 1, cochronA-8a indicates scribe 8a, etc. Bately 1986: xxi-xliii (The Anglo-Saxon Chronicle: A Collaborative Edition) was used as the source for information about and identification of the scribes. Note that CorpusSearch treats each scribe as a separate text and computes the statistics appropriately.;;14,583;cochronA.o23;o23;Anglo-Saxon Chronicle A;bishop
salt:/ycoe/cochronC#sTok23838;bisceopas;bisceop;N^N;salt:/ycoe/cochronC#sTok23837;manega;manig;Q^N;salt:/ycoe/cochronC#structure13980;manega bisceopas mid heom;NP;B17.7;ChronC;;"Rositzke, H.A. 1967 (1940). ""The C-Text of the Old English Chronicles."" Bochum-Langendreer: Beitr&aelig;ge zur englischen Philologie 34.";History;?;London, British Museum, Cotton Tiberius B.I;s. xi1 - xi2;;;22,463;cochronC;?;Anglo-Saxon Chronicle C;bishop
salt:/ycoe/cochronE.o34#sTok2834;biscopes;bisceop;N^N;salt:/ycoe/cochronE.o34#sTok2832;ealle;eal;Q^N;salt:/ycoe/cochronE.o34#structure1462;ealle Scotta biscopes;NP;B17.9;ChronE;West Saxon/X;"Plummer, Charles. 1965 (1892-1899). ""Two of the Saxon Chronicles Parallel."" Oxford: Clarendon Press. Reissued D. Whitelock, Oxford 1952.";History;?;Oxford, Bodleian, Laud Misc. 636;s. xii1, xii med.;Only the text up to the first continuation is included. The interpolations are indicated in the token ID by cochronE-INTERPOLATION;;40,641;cochronE.o34;o34;Anglo-Saxon Chronicle E (Peterborough Chronicle);bishop
salt:/ycoe/cochronE.o34#sTok8026;biscopas;bisceop;N^A;salt:/ycoe/cochronE.o34#sTok8024;ealle;eal;Q^A;salt:/ycoe/cochronE.o34#structure4455;ealle þe biscopas 0 þe *T*-3 æfter ðe cumon;NP;B17.9;ChronE;West Saxon/X;"Plummer, Charles. 1965 (1892-1899). ""Two of the Saxon Chronicles Parallel."" Oxford: Clarendon Press. Reissued D. Whitelock, Oxford 1952.";History;?;Oxford, Bodleian, Laud Misc. 636;s. xii1, xii med.;Only the text up to the first continuation is included. The interpolations are indicated in the token ID by cochronE-INTERPOLATION;;40,641;cochronE.o34;o34;Anglo-Saxon Chronicle E (Peterborough Chronicle);bishop
salt:/ycoe/cochronE.o34#sTok8384;biscope;bisceop;N^G;salt:/ycoe/cochronE.o34#sTok8383;ealre;eal;Q^G;salt:/ycoe/cochronE.o34#structure4675;ealre biscope;NP;B17.9;ChronE;West Saxon/X;"Plummer, Charles. 1965 (1892-1899). ""Two of the Saxon Chronicles Parallel."" Oxford: Clarendon Press. Reissued D. Whitelock, Oxford 1952.";History;?;Oxford, Bodleian, Laud Misc. 636;s. xii1, xii med.;Only the text up to the first continuation is included. The interpolations are indicated in the token ID by cochronE-INTERPOLATION;;40,641;cochronE.o34;o34;Anglo-Saxon Chronicle E (Peterborough Chronicle);bishop
salt:/ycoe/cochronE.o34#sTok8562;biscope;bisceop;N^G;salt:/ycoe/cochronE.o34#sTok8561;ealre;eal;Q^G;salt:/ycoe/cochronE.o34#structure4790;ealre biscope;NP;B17.9;ChronE;West Saxon/X;"Plummer, Charles. 1965 (1892-1899). ""Two of the Saxon Chronicles Parallel."" Oxford: Clarendon Press. Reissued D. Whitelock, Oxford 1952.";History;?;Oxford, Bodleian, Laud Misc. 636;s. xii1, xii med.;Only the text up to the first continuation is included. The interpolations are indicated in the token ID by cochronE-INTERPOLATION;;40,641;cochronE.o34;o34;Anglo-Saxon Chronicle E (Peterborough Chronicle);bishop
salt:/ycoe/cochronE.o34#sTok11721;biscopes;bisceop;N^N;salt:/ycoe/cochronE.o34#sTok11719;feola;fela;Q;salt:/ycoe/cochronE.o34#structure6608;feola oþre biscopes & abbotes;NP;B17.9;ChronE;West Saxon/X;"Plummer, Charles. 1965 (1892-1899). ""Two of the Saxon Chronicles Parallel."" Oxford: Clarendon Press. Reissued D. Whitelock, Oxford 1952.";History;?;Oxford, Bodleian, Laud Misc. 636;s. xii1, xii med.;Only the text up to the first continuation is included. The interpolations are indicated in the token ID by cochronE-INTERPOLATION;;40,641;cochronE.o34;o34;Anglo-Saxon Chronicle E (Peterborough Chronicle);bishop
